seed,weight_factor,floor_mean,floor_std,wt_mech,wt_lin
152,0.55,0.008285236358642579,0.005861073082794088,0.013482600450515747,0.014926302433013915
153,0.675,0.010335159301757813,0.0063465481080310585,0.012175804376602173,0.012572208046913147
154,0.8,0.008028829097747802,0.0033194363534786273,0.012715858221054078,0.01174674928188324
155,0.3,0.009011375904083251,0.004129354904688432,0.010006055235862732,0.010311099886894225
156,0.425,0.009115183353424072,0.0037910829159593313,0.010779833793640137,0.012461280822753907
157,0.55,0.009967422485351563,0.005332163670434582,0.010350006818771362,0.013763332366943359
158,0.675,0.01041029691696167,0.006947580785609831,0.012945878505706786,0.013948550820350647
159,0.8,0.007601392269134521,0.0024681975018286616,0.011600247025489807,0.0124307781457901
160,0.3,0.008230483531951905,0.004259480797753114,0.013146546483039857,0.01425013542175293
161,0.425,0.006580543518066406,0.001396954652620761,0.013645422458648682,0.014050126075744629
162,0.55,0.0065958619117736815,0.002961465364767915,0.011528718471527099,0.012625780701637269
163,0.675,0.008687031269073487,0.0025594975121696947,0.014945915341377259,0.012980300188064575
164,0.8,0.010036957263946534,0.006827045090160681,0.01230739951133728,0.014110490679740906
165,0.3,0.007960832118988037,0.006683694880444245,0.01079014539718628,0.011953133344650268
166,0.425,0.00696190595626831,0.004577510268248652,0.01247052550315857,0.012273213267326355
167,0.55,0.007957708835601807,0.002583496531330273,0.014220952987670898,0.014782071113586426
168,0.675,0.007485389709472656,0.003465411733177759,0.010371583700180053,0.014306631684303284
169,0.8,0.0059768915176391605,0.001960073951338489,0.011216056346893311,0.014261254668235778
170,0.3,0.007794022560119629,0.004888416482566807,0.011751341819763183,0.013136839866638184
171,0.425,0.006272852420806885,0.002435937376054435,0.011897802352905273,0.012745696306228637
172,0.55,0.007013297080993653,0.0036149406592269656,0.010332468152046203,0.012079301476478576
173,0.675,0.008233785629272461,0.004129755590215055,0.012398985028266907,0.015361657738685608
174,0.8,0.00880734920501709,0.004137362173764013,0.013949528336524963,0.013231498003005982
175,0.3,0.007658398151397705,0.002959086955369205,0.012880197167396546,0.012266126275062562
176,0.425,0.007231211662292481,0.0025628825259581176,0.012817674875259399,0.011541932821273804
177,0.55,0.008377945423126221,0.003082958162120709,0.011091583967208862,0.015229550004005433
178,0.675,0.006146550178527832,0.003594078710292874,0.013525152206420898,0.014711904525756835
179,0.8,0.006598210334777832,0.0033603188559205403,0.011565947532653808,0.01384563446044922
180,0.3,0.005866289138793945,0.0022839446332202575,0.012946584820747375,0.010782858729362488
181,0.425,0.009563004970550537,0.003294468910399101,0.012485513091087341,0.013960480690002441
182,0.55,0.006423032283782959,0.0024766451168976265,0.013925603032112122,0.013339781761169433
183,0.675,0.00703657865524292,0.0036389949063529805,0.01383669376373291,0.01346958875656128
184,0.8,0.00635979175567627,0.002974300256241097,0.01376650333404541,0.01394636631011963
185,0.3,0.009385812282562255,0.005900502011607716,0.01060132384300232,0.010855057835578918
186,0.425,0.0059601664543151855,0.0024025131817570983,0.010721549391746521,0.010729733109474181
187,0.55,0.010030317306518554,0.005233390323529905,0.01075035035610199,0.0117669939994812
188,0.675,0.00758897066116333,0.003364061096147613,0.011519771814346314,0.011854830384254455
189,0.8,0.008684277534484863,0.003438633817502901,0.012195762991905213,0.013145533204078675
190,0.3,0.009028053283691407,0.004459024619074413,0.012789452075958252,0.011378064751625061
191,0.425,0.009204816818237305,0.005480887042222788,0.011425626277923585,0.011302652955055236
192,0.55,0.0062279820442199705,0.0025262927799877713,0.011607953906059265,0.01188656985759735
193,0.675,0.007290828227996826,0.002391843135428641,0.011680006980895996,0.0122406005859375
194,0.8,0.007618749141693115,0.0044097150324919655,0.012860926985740661,0.01136627495288849
195,0.3,0.006000673770904541,0.0017978304898564144,0.009954681992530823,0.010365512967109681
196,0.425,0.010098719596862793,0.005654770907188935,0.012913873791694641,0.012678134441375732
197,0.55,0.007685697078704834,0.00446059262324899,0.011218765377998352,0.014459523558616637
198,0.675,0.00652545690536499,0.0027368768630487016,0.012507373094558715,0.01104990839958191
199,0.8,0.005243086814880371,0.0021014849956050236,0.010079714655876159,0.012655377388000488
200,0.3,0.0068512439727783205,0.0029283153032423357,0.012215235829353332,0.012560129165649414
201,0.425,0.007390248775482178,0.0032212558930414326,0.013804924488067628,0.011796149611473083
202,0.55,0.006033837795257568,0.0024900851029431136,0.01288069486618042,0.01346469223499298
203,0.675,0.007384359836578369,0.0032279955399955526,0.01258103847503662,0.01203024983406067
204,0.8,0.009677326679229737,0.005740708670321782,0.011889290809631348,0.012454411387443543
205,0.3,0.007891464233398437,0.005452539886445147,0.013844981789588928,0.013827723264694215
206,0.425,0.012205517292022705,0.0136503862276432,0.009880289435386658,0.013426920771598816
207,0.55,0.007343816757202149,0.0021204244860338318,0.012243422865867614,0.01146007478237152
208,0.675,0.009129631519317626,0.0040402560562211145,0.009405878186225892,0.011467692255973817
209,0.8,0.007433390617370606,0.0025207991535994845,0.011065906286239624,0.01127312183380127
210,0.3,0.005916106700897217,0.0024777173655571995,0.012583822011947632,0.012430328130722045
211,0.425,0.007874214649200439,0.004389034323416646,0.012365496158599854,0.011062830686569214
212,0.55,0.00759204626083374,0.004010700044198757,0.010789820551872253,0.010883522033691407
213,0.675,0.005117273330688477,0.001308016420720038,0.011919665336608886,0.01359696090221405
214,0.8,0.006751561164855957,0.003479514318051699,0.011941391229629516,0.014673855900764466
215,0.3,0.005954194068908692,0.001430943741854282,0.01271911859512329,0.011456239223480224
216,0.425,0.008845210075378418,0.003169338888348582,0.01106942892074585,0.011024296283721924
217,0.55,0.011013782024383545,0.0036975664439028665,0.013806337118148803,0.011959731578826904
218,0.675,0.006055307388305664,0.0014524738586725958,0.013664841651916504,0.013006690144538879
219,0.8,0.009053170680999756,0.0039003950838494613,0.012335777282714844,0.01386500895023346
