study,mechanism,param,factor,cells,noise,rep,floor_mean,floor_std,wt_mech,wt_lin,loss_K,loss_n,loss_vmax,wt_distance
calib,ceiling,vmax,0.3,2000,1,36,0.007339680194854736,0.0017579318938033973,0.013662013411521911,0.030700984597206115,0.023401939868927003,0.2005239576101303,0.014012172818183899,0.24505937099456787
calib,ceiling,vmax,0.3,2000,1,37,0.010533320903778075,0.007041387818669304,0.013995593786239624,0.029684245586395264,0.02472614049911499,0.2279877781867981,0.014021462202072144,0.3059861660003662
calib,ceiling,vmax,0.3,2000,1,38,0.009770035743713379,0.005586523157049784,0.01337181031703949,0.030428594350814818,0.026089364290237428,0.1774303138256073,0.012827157974243164,0.23227441310882568
calib,ceiling,vmax,0.3,2000,1,39,0.007118165493011475,0.0029711467848509165,0.017021161317825318,0.03541455864906311,0.02388715147972107,0.12475565373897553,0.011182752251625062,0.1540677547454834
power,threshold,K,1.5,100,0,0,-2.2649765014648436e-07,3.2625036676893254e-07,0.027942675352096557,0.0509521484375,0.030944553017616273,0.25498229563236235,0.04513876140117645,0.2644083499908447
power,threshold,K,1.5,100,0,1,9.5367431640625e-08,3.320786542221098e-07,0.029574820399284364,0.03080786168575287,0.035661259293556215,0.20677537024021148,0.06758365333080292,0.2756831645965576
power,threshold,K,1.5,100,0,2,-8.344650268554687e-08,3.3738545651638285e-07,0.02651519179344177,0.05332713425159454,0.030147168040275573,0.381914547085762,0.05051325559616089,0.48984551429748535
power,threshold,K,1.5,100,1,0,0.0,3.198720899820027e-07,0.023603439331054688,0.028494074940681458,0.02617475688457489,0.3361565381288528,0.03939847052097321,0.3892582654953003
power,threshold,K,1.5,100,1,1,1.0728836059570313e-07,4.3458285650153594e-07,0.035844945907592775,0.04925718605518341,0.028089293837547304,0.053777572512626645,0.030315181612968443,0.12414395809173584
power,threshold,K,1.5,100,1,2,-2.384185791015625e-08,3.7242172603162076e-07,0.024908077716827393,0.030925920605659483,0.02963969111442566,0.28257042169570923,0.049770784378051755,0.3341057300567627
power,threshold,K,1.5,100,2,0,-2.6226043701171877e-07,3.982375404474751e-07,0.020237883925437926,0.051807308197021486,0.032568502426147464,0.1355009377002716,0.040979194641113284,0.19153523445129395
power,threshold,K,1.5,100,2,1,-1.1920928955078125e-07,3.536319011257011e-07,0.025846707820892333,0.04016177654266358,0.02521059811115265,0.18486685454845428,0.04467902481555939,0.31316280364990234
power,threshold,K,1.5,100,2,2,-1.0728836059570313e-07,4.7219520378919507e-07,0.04435582756996155,0.05632556676864624,0.03423244059085846,0.04355772137641907,0.04318870007991791,0.13370835781097412
power,threshold,K,1.5,300,0,0,0.0012163400650024414,0.0004989089592239644,0.012606146931648254,0.02639070451259613,0.018291771411895752,0.305287703871727,0.0326104998588562,0.31773626804351807
power,threshold,K,1.5,300,0,1,0.0017475605010986329,0.0017966866317239197,0.013765043020248413,0.03485738039016724,0.016267311573028565,0.14090065956115722,0.04099188446998596,0.23159873485565186
power,threshold,K,1.5,300,0,2,0.001448953151702881,0.001175014954439053,0.014542067050933838,0.03168202340602875,0.021001920104026794,0.1159975677728653,0.026625126600265503,0.1543499231338501
power,threshold,K,1.5,300,1,0,0.0016555547714233398,0.000616230237060427,0.01219494640827179,0.023803046345710753,0.01836300790309906,0.08921372592449188,0.03326170444488526,0.20511233806610107
power,threshold,K,1.5,300,1,1,0.001406252384185791,0.0008676105379632584,0.013818243145942688,0.027645429968833922,0.013662075996398926,0.2524435669183731,0.03840278685092926,0.3130542039871216
power,threshold,K,1.5,300,1,2,0.0018584251403808594,0.0009169843812325327,0.010594940185546875,0.024831730127334594,0.013196900486946106,0.18893808722496033,0.03345486521720886,0.2337343692779541
power,threshold,K,1.5,300,2,0,0.0016318559646606445,0.001163038284709892,0.017397654056549073,0.043103954195976256,0.021119332313537596,0.1171132892370224,0.03307192623615265,0.22195863723754883
power,threshold,K,1.5,300,2,1,0.0016700863838195802,0.0007404342244783206,0.014953812956809998,0.03777565956115723,0.024839374423027038,0.11074205040931702,0.0413163959980011,0.2168262004852295
power,threshold,K,1.5,300,2,2,0.0019249439239501954,0.0009379470917665306,0.014091095328330994,0.04712726175785065,0.015289083123207092,0.11208202838897705,0.02993312180042267,0.20073747634887695
power,threshold,K,1.5,1000,0,0,0.004903256893157959,0.0014613864863615952,0.016824325919151305,0.031155943870544434,0.01933768391609192,0.18351736068725585,0.03404821455478668,0.17379629611968994
power,threshold,K,1.5,1000,0,1,0.007620584964752197,0.004345063430220595,0.016658490896224974,0.02773476839065552,0.018114855885505675,0.23595562279224397,0.036301591992378236,0.26465916633605957
power,threshold,K,1.5,1000,0,2,0.009362566471099853,0.0033596711041685495,0.014672887325286866,0.028307783603668212,0.018028882145881654,0.26866215765476226,0.04309954941272735,0.2994774580001831
power,threshold,K,1.5,1000,1,0,0.009664702415466308,0.003364484870824469,0.02125181257724762,0.030140244960784913,0.021275737881660463,0.23613820374011993,0.042645564675331114,0.2920607328414917
power,threshold,K,1.5,1000,1,1,0.006377089023590088,0.0025088763705136863,0.013728520274162293,0.03293649554252624,0.016649505496025084,0.17993955314159393,0.03654216229915619,0.20224475860595703
power,threshold,K,1.5,1000,1,2,0.00898507833480835,0.005379558907144739,0.013658297061920167,0.029574626684188844,0.01397688388824463,0.11820748746395111,0.026169633865356444,0.31387150287628174
power,threshold,K,1.5,1000,2,0,0.009415948390960693,0.005946681607048818,0.014311963319778442,0.039377474784851076,0.016626918315887453,0.15557635128498076,0.0328856498003006,0.25610268115997314
power,threshold,K,1.5,1000,2,1,0.012725985050201416,0.008051988764027245,0.016674894094467162,0.04539382457733154,0.021107891201972963,0.09195873439311981,0.034435775876045224,0.2392803430557251
